Temps,Voie A,Voie B,Voie C
(ns),(mV),(mV),(mV)

1282000,0,1,0
1283000,0,0,1
1284000,0,0,0
1285000,0,0,1
1286000,1,1,0
1287000,0,0,0
1288000,0,0,0
1289000,0,0,0
1290000,-1,0,0
1291000,0,0,3
1292000,0,0,0
1293000,0,1,0
1294000,0,0,0
1295000,0,0,1
1296000,0,1,0
1297000,0,0,-1
1298000,0,0,0
1299000,0,0,0
1300000,0,0,0
1301000,1,0,1
1302000,0,0,0
1303000,0,1,1
1304000,1,0,0
1305000,0,0,0
1306000,0,0,0
1307000,0,1,0
1308000,0,0,0
1309000,-1,0,0
1310000,0,1,0
1311000,0,-1,0
1312000,0,1,1
1313000,0,0,1
1314000,0,0,0
1315000,0,0,1
1316000,0,0,0
1317000,0,0,0
1318000,0,0,0
1319000,0,0,1
1320000,0,0,0
1321000,0,0,0
1322000,0,1,0
1323000,0,-1,0
1324000,0,1,1
1325000,0,0,1
1326000,0,0,0
1327000,0,1,0
1328000,0,0,0
1329000,0,0,1
1330000,0,0,1
1331000,0,1,0
1332000,1,1,0
1333000,0,1,1
1334000,0,1,0
1335000,0,0,0
1336000,0,0,0
1337000,0,0,0
1338000,0,1,0
1339000,0,0,0
1340000,-1,1,1
1341000,0,0,0
1342000,1,1,0
1343000,0,1,0
1344000,0,1,0
1345000,0,0,0
1346000,0,1,0
1347000,0,0,0
1348000,0,0,0
1349000,0,0,0
1350000,0,0,0
1351000,0,1,0
1352000,0,0,0
1353000,0,0,1
1354000,0,0,0
1355000,0,1,1
1356000,0,0,0
1357000,0,0,0
1358000,0,0,0
1359000,0,1,1
1360000,0,0,0
1361000,0,0,0
1362000,1,1,0
1363000,1,0,0
1364000,0,1,0
1365000,0,1,3
1366000,1,1,0
1367000,0,0,0
1368000,0,0,1
1369000,-1,0,0
1370000,0,0,0
1371000,0,0,1
1372000,0,0,0
1373000,0,1,1
1374000,0,1,1
1375000,0,0,1
1376000,0,0,1
1377000,0,0,0
1378000,0,1,0
1379000,0,0,0
1380000,0,1,0
1381000,1,-1,0
1382000,0,1,0
1383000,1,0,0
1384000,0,0,0
1385000,0,1,0
1386000,0,1,1
1387000,0,0,1
1388000,0,0,0
1389000,-1,1,0
1390000,0,0,0
1391000,-1,1,0
1392000,0,0,0
1393000,0,0,0
1394000,0,1,0
1395000,0,0,0
1396000,0,0,0
1397000,0,0,0
1398000,-1,0,0
1399000,0,1,0
1400000,0,0,1
1401000,1,1,0
1402000,0,0,0
1403000,0,0,1
1404000,0,0,0
1405000,0,0,0
1406000,0,1,0
1407000,-1,0,0
1408000,0,0,1
1409000,0,0,0
1410000,0,0,1
1411000,0,1,0
1412000,0,0,1
1413000,-1,0,1
1414000,0,0,0
1415000,0,1,0
1416000,0,3,0
1417000,0,0,0
1418000,0,0,1
1419000,0,1,0
1420000,0,0,1
1421000,0,0,0
1422000,0,0,0
1423000,0,1,-1
1424000,0,1,0
1425000,0,1,0
1426000,0,1,0
1427000,1,0,0
1428000,-1,0,0
1429000,0,0,1
1430000,0,0,1
1431000,1,1,0
1432000,0,1,1
1433000,0,1,1
1434000,0,1,1
